2014-07-09|12:49:41|WorldCup v0.13.f|Match Stats File
MatchID|Team Side|Team Name|Goals Scored|Team Badge|Possession %|Shots|Shots On Goal|Corners|Fouls|Match Notice
25285134|Home|Brazil|0|http://ichef.bbci.co.uk/onesport/images/football/team-badges/66/brazil.png|53|14|6|4|13|No Special Notice
25285134|Away|Mexico|0|http://ichef.bbci.co.uk/onesport/images/football/team-badges/66/mexico.png|47|13|2|3|18|No Special Notice
25285127|Home|Belgium|2|http://ichef.bbci.co.uk/onesport/images/football/team-badges/66/belgium.png|67|17|8|7|20|No Special Notice
25285127|Away|Algeria|1|http://ichef.bbci.co.uk/onesport/images/football/team-badges/66/algeria.png|33|3|1|2|18|No Special Notice
25285141|Home|Russia|1|http://ichef.bbci.co.uk/onesport/images/football/team-badges/66/russia.png|49|18|5|4|15|No Special Notice
25285141|Away|South Korea|1|http://ichef.bbci.co.uk/onesport/images/football/team-badges/66/south-korea.png|51|10|5|4|7|No Special Notice
25285113|Home|Iran|0|http://ichef.bbci.co.uk/onesport/images/football/team-badges/66/iran.png|31|9|1|2|18|No Special Notice
25285113|Away|Nigeria|0|http://ichef.bbci.co.uk/onesport/images/football/team-badges/66/nigeria.png|69|10|4|7|16|No Special Notice
25285106|Home|Germany|4|http://ichef.bbci.co.uk/onesport/images/football/team-badges/66/germany.png|57|13|6|4|8|No Special Notice
25285106|Away|Portugal|0|http://ichef.bbci.co.uk/onesport/images/football/team-badges/66/portugal.png|43|13|4|6|12|No Special Notice
25285120|Home|Ghana|1|http://ichef.bbci.co.uk/onesport/images/football/team-badges/66/ghana.png|62|21|3|7|10|No Special Notice
25285120|Away|USA|2|http://ichef.bbci.co.uk/onesport/images/football/team-badges/66/usa.png|38|8|4|3|12|No Special Notice
25285078|Home|Ivory Coast|2|http://ichef.bbci.co.uk/onesport/images/football/team-badges/66/ivory-coast.png|58|21|5|8|12|No Special Notice
25285078|Away|Japan|1|http://ichef.bbci.co.uk/onesport/images/football/team-badges/66/japan.png|42|7|2|5|13|No Special Notice
25285085|Home|Switzerland|2|http://ichef.bbci.co.uk/onesport/images/football/team-badges/66/switzerland.png|62|17|6|8|9|No Special Notice
25285085|Away|Ecuador|1|http://ichef.bbci.co.uk/onesport/images/football/team-badges/66/ecuador.png|38|10|4|5|15|No Special Notice
25285092|Home|France|3|http://ichef.bbci.co.uk/onesport/images/football/team-badges/66/france.png|71|20|5|8|13|No Special Notice
25285092|Away|Honduras|0|http://ichef.bbci.co.uk/onesport/images/football/team-badges/66/honduras.png|29|4|1|0|14|No Special Notice
25285099|Home|Argentina|2|http://ichef.bbci.co.uk/onesport/images/football/team-badges/66/argentina.png|59|12|2|2|10|No Special Notice
25285099|Away|Bos-Herce|1|http://ichef.bbci.co.uk/onesport/images/football/team-badges/66/bosnia-hercegovina.png|41|16|6|6|14|No Special Notice
25285057|Home|Colombia|3|http://ichef.bbci.co.uk/onesport/images/football/team-badges/66/colombia.png|48|13|6|4|19|No Special Notice
25285057|Away|Greece|0|http://ichef.bbci.co.uk/onesport/images/football/team-badges/66/greece.png|52|11|2|4|14|No Special Notice
25285064|Home|Uruguay|1|http://ichef.bbci.co.uk/onesport/images/football/team-badges/66/uruguay.png|56|9|3|5|20|No Special Notice
25285064|Away|Costa Rica|3|http://ichef.bbci.co.uk/onesport/images/football/team-badges/66/costa-rica.png|44|13|4|6|18|No Special Notice
25285071|Home|England|1|http://ichef.bbci.co.uk/onesport/images/football/team-badges/66/england.png|44|18|5|9|8|No Special Notice
25285071|Away|Italy|2|http://ichef.bbci.co.uk/onesport/images/football/team-badges/66/italy.png|56|13|4|2|11|No Special Notice
25285036|Home|Mexico|1|http://ichef.bbci.co.uk/onesport/images/football/team-badges/66/mexico.png|62|9|4|2|11|No Special Notice
25285036|Away|Cameroon|0|http://ichef.bbci.co.uk/onesport/images/football/team-badges/66/cameroon.png|38|13|1|5|12|No Special Notice
25285043|Home|Spain|1|http://ichef.bbci.co.uk/onesport/images/football/team-badges/66/spain.png|64|10|4|4|5|No Special Notice
25285043|Away|Netherlands|5|http://ichef.bbci.co.uk/onesport/images/football/team-badges/66/netherlands.png|36|14|10|1|18|No Special Notice
25285050|Home|Chile|3|http://ichef.bbci.co.uk/onesport/images/football/team-badges/66/chile.png|65|10|5|3|9|No Special Notice
25285050|Away|Australia|1|http://ichef.bbci.co.uk/onesport/images/football/team-badges/66/australia.png|35|13|4|1|18|No Special Notice
25285029|Home|Brazil|3|http://ichef.bbci.co.uk/onesport/images/football/team-badges/66/brazil.png|61|14|6|7|5|No Special Notice
25285029|Away|Croatia|1|http://ichef.bbci.co.uk/onesport/images/football/team-badges/66/croatia.png|39|11|3|3|20|No Special Notice
